Original_Text,Ground_Truth,Predicted_Text,Original_Text_Length,is_latin,Original_Text_special_chars,Original_Text_unique_words,Baseline_Original_Text,Baseline_Predicted_Text,Enhanced_Predicted_Text,LLM_Predicted_Text,Voting_Hybrid_Predicted_Text,RefineBoost_Hybrid_Predicted_Text,Conditional_Hybrid_Predicted_Text
TAIHEI,TAIHEI,,6.0,True,0,1,TAIHEI,TAIHEI,TAIHEI,TAIHEI,TAIHEI,TAIHEI,TAIHEI
GlockBoy BoBo,GlockBoy BoBo,,13.0,True,0,2,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy/BoBo
Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,,17.0,False,3,3,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện
Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,,76.0,False,4,7,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper
BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,,60.0,False,2,6,BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK DAN STEVEN/GOLDSTEIN ANDREW MAXWELL/OVERSTREET CHORD,BOOK/DAN STEVEN/GOLDSTEIN/ANDREW MAXWELL/OVERSTREET/CHORD,BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK DAN STEVEN/GOLDSTEIN ANDREW MAXWELL/OVERSTREET CHORD,BOOK/DAN STEVEN/GOLDSTEIN/ANDREW MAXWELL/OVERSTREET/CHORD
Ángel Aníbal,Ángel Aníbal,,12.0,False,2,2,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal
-/Akira The Don,Akira The Don,,15.0,False,2,3,-/Akira The Don,-/Akira The Don,//Akira The Don,Akira The Don,-/Akira The Don,//Akira The Don,Akira The Don
Boon wdg & marr osama,Boon wdg/marr osama,,21.0,False,1,5,Boon wdg & marr osama,Boon wdg / marr osama,Boon wdg/marr osama,Boon/wdg/marr/osama,Boon wdg / marr osama,Boon wdg/marr osama,Boon/wdg/marr/osama
Paul Noriega,Paul Noriega,,12.0,True,0,2,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega
Bob Young/Francis Rossi,Bob Young/Francis Rossi,,23.0,False,1,3,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi
